PSRJ,omgc_dot,omgc_0,logq_taueff,logq_tau,logq_ratio,logq_TN,logq_Qs,logq_Qc,log_tau-dist,log_ratio-dist,log_evidence_WTNnullHypothesis,log_evidence_2Cmpnt,log_Qs-dist,log_Qc-dist,Tobs,TSTART,TFINISH,NTOAs,logBF_2Cmpnt_vs_WTNnullHypothesis,logBF_per_TOA_2Cmpnt_vs_WTNnullHypothesis
J0450-1248,-3.3641135290747753e-15,14.344706001592073,"[4.489033862451885, 2.1719372612696164, 7.2345979789891866]","[5.0892984628785785, 3.050016858701634, 7.467286057327618]","[-0.007465348835775413, -2.9059734153099743, 2.932585035578921]","[-4.014505822248076, -4.825221503006649, -3.444252454977815]","[-24.948365358272067, -28.231504922368945, -21.520703978493348]","[-24.50299428360271, -26.701762829538072, -22.501698814951506]",-,-,216.38646457309383,219.8418352041191,pky,pky,1118.0501393950763,57295.651303896666,58413.70144329174,81,3.4553706310252608,0.04265889667932421
J0452-1759,-1.199794774922848e-13,11.445967223343791,"[5.224863937061404, 2.7272030713295363, 7.498074042724937]","[5.220362857791494, 3.0511603629471007, 7.606787044978136]","[-0.7000274598673465, -3.071424676579273, 2.395284642246807]","[-4.034622831733408, -4.30844880197286, -3.741455781569473]","[-25.035282376834797, -27.646939335220917, -21.57952525351192]","[-25.22033657502524, -27.57161336426097, -24.624916146457927]",-,-,461.370053658186,487.32409778229436,pky,pky,1327.2285388074451,57172.2387266385,58499.46726544594,121,25.95404412410835,0.21449623243064753
J0525+1115,-3.68692729622029e-15,17.727194549138865,"[5.206203344393163, 2.6615365790204835, 7.892239658575679]","[5.459427775766387, 3.1216157415706123, 7.873619380938936]","[-0.5990069759465434, -3.0701237744614307, 2.590428671923781]","[-5.97924090113494, -7.6422121479310166, -4.946773465274498]","[-26.26208712781364, -28.7836014058864, -22.885360360933234]","[-26.716835420137773, -28.85921788788209, -24.99982472108266]",-,-,194.8439127157089,193.9053089524391,-,-,1121.9924135187102,57291.73427431083,58413.72668782954,59,-0.9386037632698105,-0.015908538360505264
J0529-6652,-1.0212226319916915e-13,6.439426128053315,"[5.144486418206574, 2.5964988598475265, 7.818985429985131]","[5.45598974052814, 3.1546256985116288, 7.818917064251468]","[-0.36092682617957583, -2.9955223815204195, 2.6537537580063084]","[-5.482369912215319, -7.444677752276667, -3.7374652424045447]","[-26.242563513819206, -28.73272247547754, -22.65068053383817]","[-26.72942764030082, -28.902415301737175, -24.127082515428885]",-,-,106.59368505578483,105.2758966245546,-,-,798.8874620740244,57610.84598303271,58409.733445106736,59,-1.3177884312302268,-0.02233539713949537
J0533+0402,-1.0843446817043688e-15,6.524474595559156,"[4.918704926849533, 2.5476945572490948, 7.977193004608494]","[5.0725911119060045, 3.019328326049413, 7.975150621871672]","[-0.9799471321404554, -3.1704665429517007, 2.5511534655329275]","[-6.188487157149192, -7.592472734861799, -4.922904671039603]","[-26.900879156905805, -28.958597677652357, -23.34102507225497]","[-27.703311154099175, -29.255751709247132, -25.74086998755492]",-,-,175.1370780211514,173.2947742857737,-,-,1117.978617509325,57295.75442964307,58413.7330471524,54,-1.8423037353776976,-0.03411673584032773
J0536-7543,-2.3291183454162328e-15,5.043267235083276,"[4.690656978548893, 2.436256810010723, 7.842467453007386]","[4.957686966909947, 2.977609562282469, 7.875631640835059]","[-1.1436386387964277, -3.2306572582690785, 2.5948625479827165]","[-6.217911543843346, -7.3865900111627125, -5.051972958812826]","[-27.356946809371657, -29.148769217000236, -23.905749020227617]","[-28.01750508449009, -29.36159593503524, -25.98973897744803]",-,-,780.6305447487616,778.4498200323744,-,-,1335.2781877238958,57171.195833761936,58506.47402148583,189,-2.1807247163872034,-0.011538226012630706
J0601-0527,-5.21906084510675e-14,15.867829767531022,"[4.667478990329736, 2.460094085766013, 7.840223839352612]","[4.8645129926423065, 2.919859210611908, 7.857006282266964]","[-1.382792519689514, -3.2843881422346803, 2.4286976088531778]","[-7.387808290255581, -8.466406515177963, -6.315992604533652]","[-27.38010308488778, -29.163171209644297, -24.049185577825266]","[-28.201170404068623, -29.425116453164225, -26.515450757744304]",-,-,791.8674166353837,789.3599026935314,-,-,1325.3419966647707,57183.14869849645,58508.49069516122,208,-2.5075139418523804,-0.012055355489674905
J0624-0424,-4.831912372705532e-15,6.046890810437969,"[5.048603147551574, 2.6194207720870644, 8.105098247120763]","[5.174605061525134, 3.032823205808629, 8.08516905447187]","[-1.2532320461973712, -3.248036007771252, 2.4479381956409325]","[-6.8597794988867555, -7.922999655921615, -5.8000117333930294]","[-27.434425741902405, -29.199852294816015, -24.015202038503563]","[-28.35478845258937, -29.491478360346882, -26.821033129300694]",-,-,543.0988405417015,540.6790028649929,-,-,1119.9691847399226,57289.80850473337,58409.777689473296,120,-2.419837676708653,-0.020165313972572107
J0627+0706,-8.270275278718587e-13,13.203182792355035,"[4.936165889860649, 2.5907048919893185, 7.539062065996752]","[4.960687306290897, 2.990209782823713, 7.771148468184925]","[-0.6634597738691226, -3.056360383979854, 2.402088026433649]","[-3.8363040133551642, -4.146784654684125, -3.529115994669083]","[-24.538630655765605, -27.61299130256152, -21.175053590780934]","[-24.645713316281437, -26.86090211012783, -23.9357982885215]",-,-,341.69150876658966,414.7219288914563,pky,pky,1122.975832435688,57290.79518332374,58413.77101575943,111,73.03042012486662,0.6579317128366362
J0630-2834,-2.9102636973416734e-14,5.04906667683743,"[4.894676808733154, 2.495041032284578, 7.8164596105155395]","[5.100792985777432, 3.0047568741056816, 7.8608030351785825]","[-0.8755282576499973, -3.1895538838164414, 2.6424769047565473]","[-5.398253319480739, -7.003392375952721, -4.06473579986345]","[-26.754651210855727, -28.995624078896334, -23.282642505170955]","[-27.384077863718037, -29.130968427111487, -25.347429187681424]",-,-,237.10982409901428,235.20256518870877,-,-,1300.44116066477,57106.3480212268,58406.78918189157,87,-1.9072589103055009,-0.021922516210408055
J0646+0905,-5.673002009241462e-15,6.951092574157821,"[4.463899423644809, 2.1163440079456564, 7.224351588853313]","[4.8959162754997445, 3.0063531371695094, 7.321159678623196]","[-0.4433297138383717, -2.987849862939443, 2.771847405032068]","[-3.4233415404743255, -4.1154793478854, -2.876401522533815]","[-24.77575606144784, -28.004492394273562, -21.39682449585745]","[-24.62660018442879, -27.079750332277538, -22.450778336306417]",-,-,438.91038882283016,442.9081144272521,pky,pky,1074.0144572678619,57339.76683258018,58413.78128984804,160,3.9977256044219303,0.024985785027637063
J0659+1414,-2.329764961536024e-12,16.323050061393012,"[5.691659081825285, 2.9314449909713787, 8.128531262131771]","[5.949698592002859, 3.253273089019867, 8.075123245241027]","[-0.43391272787659707, -2.893092192426155, 2.4153588134253976]","[-3.141248939279535, -3.532790130134593, -2.6456337960127456]","[-23.626240879710128, -27.39283734636373, -19.98652903222618]","[-23.922432767022684, -27.04319309430835, -23.286168923221723]",-,-,368.7354446117534,393.90122484875525,pky,pky,1123.0251631149877,57291.76251826988,58414.78768138487,162,25.165780237001854,0.15534432245062874
J0711-6830,-3.091807024480844e-15,1144.276332278061,"[5.7274770868624785, 2.8823337277645695, 8.091454657998964]","[5.959432109476809, 3.232083338375025, 7.85650553751059]","[0.11028998973406133, -2.871540433748573, 2.7755570751638174]","[-7.969439522879723, -9.794792621645602, -7.15896216374996]","[-24.815764641162115, -28.207801407950342, -21.21531860139809]","[-25.373507974909995, -28.361274152060645, -23.846667472073776]",-,-,53.55899606188196,54.72769577791088,-,pky,1030.222941812557,57395.54494953527,58425.76789134783,43,1.168699716028918,0.02717906316346321
J0729-1836,-4.576500704044402e-13,12.315799515936035,"[7.631628464558576, 5.11779687966056, 9.18974374906458]","[6.860189073428221, 6.594958367036479, 8.08620358697119]","[1.7709017140839687, -0.7981436361276293, 3.273816574117525]","[-2.598550824107736, -4.455656174083583, -0.7766460041557335]","[-23.2985608359403, -26.35803337449165, -19.64558752004402]","[-25.462095987293523, -28.535876016144307, -23.747538396305384]",pky,rr,416.1844663641228,612.5892348802685,pky,pky,1124.982313686989,57290.823399709916,58415.805713396905,169,196.40476851614568,1.1621583935866608
