F0,F1,EFAC,EQUAD,RedAmp,RedSlope,sigma_RN
1.5527945848693383,-5.6112682262462745e-15,0.14562771529901997,-4.2477260986595375,-8.656269585821674,3.512594068728723,-8.147288553179425
1.5527945843694182,-5.5795535751444356e-15,0.3466970539807184,-4.071406896591242,-16.55149365374275,9.50582193465541,-14.82845287861171
1.552794584491432,-5.585887475938785e-15,0.3375645144175481,-8.517872690020697,-11.596724609701056,19.20860671791694,-7.908171983708788
1.552794586973414,-5.663814547910893e-15,0.1780729405746504,-3.026233011511832,-8.836818420518286,3.8262099337201114,-8.264307616472466
1.5527945844759754,-5.588864722116255e-15,0.2582978123231314,-3.855652147170222,-17.112542943246083,14.933745766598026,-14.289957155464656
1.552794584980736,-5.596802293351392e-15,0.10425257122530418,-5.278180866303428,-9.112761969755944,11.422106125778042,-7.001535805439813
1.552794584915841,-5.6058221870127065e-15,0.2386551566536943,-9.803745791194896,-8.9644279897672,1.3718405227467758,-8.889103537002873
1.5527945842344324,-5.577610071584003e-15,0.4426654878401437,-9.709808177975704,-16.3696419345059,16.445965898078978,-13.240722794400272
1.5527945843390782,-5.584490361337704e-15,0.36422993202550513,-5.844022177403545,-19.8237378646774,15.825579004848738,-16.820491695579705
1.552794584597941,-5.591689335772323e-15,0.38721786699259964,-5.630511773035233,-17.909984084558367,11.331594685539656,-15.817092997480472
1.5527945840642492,-5.5728881786710826e-15,0.035631076782009385,-9.088445482383468,-9.434357278833282,6.91064078809072,-8.237027360187911
1.552794583198551,-5.5383832637588205e-15,0.06869232754178278,-6.17985924784754,-9.837047880456828,9.473792420475712,-8.12049538586625
1.552794585881408,-5.620827764254603e-15,-0.036619996672870636,-6.32204894119611,-8.83419364973454,3.9408236733707196,-8.238465319113935
1.55279458574556,-5.625495159781299e-15,0.17778496362044582,-7.727129735904365,-9.44335766649709,4.06632613770002,-8.822206059316018
1.5527945844592947,-5.5881574431037615e-15,-0.28291843098523606,-2.524884546281127,-17.481379768730594,15.15804509332346,-14.613357233183763
1.5527945847442495,-5.593231664578584e-15,-0.12901854480366026,-8.702063747656045,-9.095235402541332,2.432107452596414,-8.805130630286582
1.5527945843377977,-5.580702994746518e-15,0.43933570015188206,-9.261534966394702,-19.325197412786487,2.157800842003676,-19.090659460360587
1.552794584487388,-5.586853899201936e-15,0.45718118052555035,-3.46742091114492,-13.164831643265869,7.424996070056506,-11.863307781866984
1.5527945843935207,-5.580294651797401e-15,-0.12536580378580187,-2.498464504365198,-11.600556881692508,16.92603810633002,-8.374388587280754
1.5527945844092634,-5.583425116219278e-15,0.09951026063544322,-4.022451061034306,-18.377566998355398,6.751503868250368,-17.212473752875795
1.5527945845321363,-5.58918950946872e-15,0.4254489391334584,-4.4719378651391395,-17.29106977501061,17.915476315178328,-13.864469071900972
1.5527945843815991,-5.585959813205582e-15,0.16214130495584267,-2.9648097383782828,-19.4943571061262,0.0858485694171971,-19.679538526762457
1.552794584211045,-5.5777780415244264e-15,0.3350410531941581,-6.789359231663502,-10.222430490928586,8.211114239815295,-8.761661153787133
1.552794584386787,-5.581093254977654e-15,0.2677693711912954,-7.086638534910926,-16.106258649306252,0.014056857072639732,-16.30598305575111
1.5527945837211463,-5.562563329887375e-15,0.22136012292965868,-7.66257510112232,-8.918154660382454,1.2378354444526467,-8.869975875109079
1.5527945849812155,-5.596112512598547e-15,-0.09418092017800173,-3.7712321638431785,-8.929570711468605,2.6916498457877958,-8.586889935415586
1.5527945844902218,-5.5805706909321265e-15,0.2660505585422823,-9.8228641398557,-8.848739516305615,2.6564569058189598,-8.513187842064143
1.552794584184286,-5.572989305229124e-15,0.4135025762596385,-9.556712186329161,-11.846180822154725,15.001505583589044,-9.00986879739257
1.5527945866006834,-5.647973321130651e-15,0.0773225132119264,-4.747687801398072,-9.025864260774272,3.16083471809274,-8.588139799082562
1.5527945847564233,-5.596343508876805e-15,0.04078481055297911,-2.8838191055968414,-9.808654932212413,5.103814794950616,-8.97733724420906
1.5527945838179613,-5.558106999177584e-15,0.3499303685366677,-4.8953159658192416,-11.332119107258443,14.96220025655708,-8.503769238496755
1.5527945844255286,-5.584616318530094e-15,0.4175595567410071,-9.118925579731924,-11.04345726203793,9.421623934104687,-9.337472638475537
1.5527945843415536,-5.582994370513512e-15,0.41628298065644165,-3.6771997595805965,-14.33882975867403,11.475114036916764,-12.216865679433486
1.5527945843230202,-5.5794385457385135e-15,-0.13986045621043885,-2.6831777691237306,-16.136295948409487,4.030291899904593,-15.522443866365348
1.5527945841413886,-5.565390603781421e-15,0.33994153916555403,-7.822024524975875,-9.799603526850943,7.771227507319333,-8.427942894588627
1.5527945843366011,-5.580715676657536e-15,0.17879926443016525,-8.000643072376656,-16.2081418617255,19.97298293653753,-12.364748069019212
1.552794583695294,-5.549653283158808e-15,0.2347923296155452,-4.303197291878437,-9.435043716645879,5.118553155810344,-8.600740450421515
1.5527945845331184,-5.5764014081668665e-15,0.019393816460206992,-7.307211231125454,-9.298453772823873,6.819136911054392,-8.119659971255418
1.552794584204798,-5.57814511539368e-15,-0.05072623449955116,-2.710561343031152,-18.68192090386746,14.798747647805683,-15.886681945708396
1.5527945842753101,-5.579342554495272e-15,-0.035105308773694666,-2.505997395825749,-9.483265819547311,3.1578919849464766,-9.046137472991834
1.5527945835216306,-5.545493176292683e-15,0.23048843196474422,-3.523157745396694,-9.365568884020604,4.324583704329235,-8.692101542839128
1.5527945842905377,-5.576818595349815e-15,-0.05767404929964426,-6.588984948238263,-9.075647458096777,5.973144147466936,-8.068228044368247
