F0,F1,F2,EFAC,EQUAD,RedAmp,RedSlope,sigma_RN
2.667230443222548,-9.739770065295746e-15,-8.325997559844024e-24,0.37035636594627674,-4.07472527416197,-9.526249592258589,5.440869296421907,-8.298729034251838
2.6672304407955023,-9.814952779788525e-15,-2.716807266735104e-24,0.4928954187533161,-9.036205591630836,-10.050713837523142,7.556114746945502,-8.238508817435957
2.667230442438793,-9.763724491987406e-15,-6.515324061718868e-24,0.33162410104429085,-4.147505211645624,-9.843545557002919,8.945786886288909,-7.647215041191801
2.667230440516948,-9.81149780393504e-15,-2.4344493291290794e-24,0.3966153694509589,-4.040431138396346,-9.578392502104489,5.620703110984683,-8.301163274540983
2.667230440840808,-9.818568753777331e-15,-2.8084191911964166e-24,0.2611570138013748,-4.035672073189412,-9.91637924842586,7.06992870123212,-8.238563089233555
2.6672304400560285,-9.841262980466956e-15,-9.504133986920687e-25,0.19337409148500262,-3.8498871726747925,-9.620653699859924,6.865444146344432,-7.999360031685702
2.667230441187044,-9.799614750573978e-15,-3.7124103655275036e-24,0.49113394878886907,-8.361866323073327,-10.448597967055374,9.991853226280982,-7.963119572378794
2.6672304418123405,-9.782406992134487e-15,-5.151190407431202e-24,0.02193336135348556,-3.8535608455424377,-9.961423451325564,4.545580811908846,-8.981373590322205
2.6672304405684635,-9.825568678410755e-15,-2.1594505891273808e-24,0.4889867747286982,-6.201840737981064,-9.986738187556726,5.386498471235228,-8.774246512684684
2.6672304416596626,-9.793554719173413e-15,-4.619953389541334e-24,0.4730594773771788,-8.547062156001653,-10.078327350109292,5.485983134213271,-8.838336674284822
2.6672304415739965,-9.794884133535493e-15,-4.483581442657535e-24,0.2694359977221843,-3.8542374727260347,-9.704932610073866,3.6755573373570622,-8.965369831593126
2.6672304408597247,-9.81461193344606e-15,-2.8523489782699777e-24,0.5199410285993946,-6.076940220900823,-10.131269362904959,4.725041167809682,-9.101614061725062
2.6672304410381513,-9.814608578831588e-15,-3.0817309147330407e-24,0.36304786617607454,-4.166911820235135,-9.820966170562054,6.568645060227675,-8.281712066150604
2.6672304414995294,-9.789816763156575e-15,-4.459153044227469e-24,0.4837314826629222,-5.285122952653314,-10.628725397893257,10.399570852422034,-8.030547949373076
2.6672304414116095,-9.789217536483063e-15,-4.327309624628161e-24,0.02973688412015041,-3.7087364395479643,-10.318160630126176,7.731677432468725,-8.457427542376141
2.6672304403081735,-9.824294081170022e-15,-1.762785014102425e-24,0.26710830388494,-3.9226366026983612,-9.715958652707378,8.167518109571185,-7.734752892728527
2.667230440147391,-9.823566585724392e-15,-1.506507207343806e-24,0.1205215444297496,-3.8613554319068166,-9.799855706245655,6.451700604534523,-8.292926742234963
2.667230441114352,-9.797218156341862e-15,-3.674075969723501e-24,0.41873564836345567,-3.986650516465758,-9.812939948891627,6.620276735085014,-8.259414102147483
2.6672304406621454,-9.804047486789724e-15,-2.7819518450003564e-24,0.4285254254200286,-4.067255968034855,-9.94711418705571,4.668719652647873,-8.933026967957154
2.667230440739772,-9.807641750333969e-15,-2.7957670778211636e-24,0.08424006072465962,-3.828282869322501,-10.064552966658415,8.253801159920696,-8.059497322559602
2.66723044130651,-9.797031587135302e-15,-3.974631940158905e-24,0.5191580439879591,-6.3847787627889305,-10.348717981974168,7.63848286846358,-8.513745220767174
2.6672304418651454,-9.769739600088638e-15,-5.4794331901507386e-24,0.32293868936538317,-3.8783546193387846,-9.894984641751678,4.634219858469964,-8.89043366517089
2.667230441870858,-9.778338812669145e-15,-5.281182678640196e-24,0.04386848602343396,-3.7932652883717095,-9.75964254411708,7.376442606481311,-7.997101504525463
2.6672304417703527,-9.772230002788764e-15,-5.222335904321163e-24,0.31304915962842794,-3.942607560050999,-9.664427470352488,5.880444565249897,-8.315401944903336
2.667230440089017,-9.83917764541052e-15,-1.1144393784587534e-24,0.3031173339541815,-3.869925372951675,-9.983665925270225,6.207324665414316,-8.544286008333257
2.667230440752337,-9.829026505505542e-15,-2.338665605219979e-24,0.24169605843893893,-3.886926443986752,-9.927680465883004,7.394802494373693,-8.160064487506597
2.6672304411384578,-9.812700618963834e-15,-3.330785002529137e-24,0.31248738784141805,-3.8275997125519385,-10.072549750570547,5.324446157046408,-8.877210233587961
2.667230441435961,-9.796532454649482e-15,-4.194587049742861e-24,0.14565379541665036,-3.7828597520222473,-10.490858050428717,12.485029126203122,-7.316229746668515
2.667230441855369,-9.784421077580352e-15,-5.113127537720171e-24,0.1383921783463915,-3.8664365827607172,-10.262049980925706,5.927339132105028,-8.900062118368396
2.6672304424248043,-9.767768009691638e-15,-6.419229610994476e-24,0.1030747682139952,-3.8091601985789865,-9.925576533576471,6.178555357710382,-8.49414886974334
2.6672304407068204,-9.821508798486368e-15,-2.4439750247096492e-24,0.3689925059416972,-4.285267312026003,-10.311365741154319,8.157891114979915,-8.332821021837512
2.66723044116346,-9.788574899129e-15,-3.9174624287252544e-24,0.22613870983362028,-3.9423692777238397,-10.109253582542562,6.619566707945888,-8.555923997577779
2.667230441228518,-9.811595382408797e-15,-3.543867152000349e-24,0.45616253288894204,-4.370646914076303,-10.00814482218857,4.827386681610195,-8.950199739476233
2.667230440636504,-9.824499471441265e-15,-2.2956268106578342e-24,0.16955579658047415,-3.7843831788616935,-9.80575664061336,5.818431021584072,-8.473872556319881
2.6672304399721534,-9.836349728156495e-15,-1.0018787583039781e-24,0.3286904263720818,-3.9430393353103588,-9.931822554308802,7.14124571489319,-8.234293340180349
