ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjMwMQ==,2019-10-31T06:34:39+00:00,LBAND,540.5670112897196,73.01296230564351,0.0060498173008640835,59400.0,0.2457,20.091,1290.19201660156,3.72,-49.795,0.09,0.15055185475444097
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjUxOQ==,2020-05-26T22:10:49+00:00,LBAND,106.85124067289738,73.03164332293076,0.02341965509404616,59400.0,0.5099,92.931,208.670822143555,2.399,-53.3441,0.36,0.140869140625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjU2OA==,2020-06-19T20:36:07+00:00,LBAND,105.77176762616843,73.02686073745788,0.03227258455064326,59400.0,1.2062,132.397,235.716278076172,2.868,-48.4994,0.18,0.161376953125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjY2OA==,2020-08-15T14:50:05+00:00,LBAND,106.53935730841141,73.03848409509438,0.01985378308080085,59400.0,0.7759,86.14,312.927612304688,3.504,-50.9593,0.14,0.22314453125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjgwOQ==,2020-11-02T13:02:04+00:00,LBAND,106.53935730841141,72.94943859014369,0.0382005675179302,59400.0,1.9233,154.731,229.503372192383,2.794,-50.8758,0.18,0.16886393229166666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjc3NQ==,2020-10-11T12:44:12+00:00,LBAND,106.45915872897214,72.98314158628153,0.03373548791235291,59400.0,1.4636,142.973,218.591537475586,2.972,-51.4047,0.15,0.16829427083333334
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjcyOA==,2020-09-13T12:57:03+00:00,LBAND,105.53984598130862,73.00643026914875,0.03176370132885608,59400.0,1.3664,129.651,263.335021972656,3.465,-48.7913,0.17,0.15657552083333334
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjYzMQ==,2020-07-25T23:09:56+00:00,UHF,105.33099670588253,73.03797165405805,0.005621674940026173,59400.0,0.2924,51.934,333.039184570312,5.75,-49.8205,0.07,0.10652669270833333
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjk1NQ==,2021-02-01T04:11:44+00:00,LBAND,106.53935730841141,72.99581995381781,0.014109431107076556,59400.0,0.4916,58.066,360.055480957031,4.674,-50.3193,0.13,0.12736002604166666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjg2NQ==,2020-12-05T08:05:23+00:00,LBAND,106.5393573084114,72.97222064922273,0.017367303652051205,59400.0,0.5373,74.591,296.415679931641,3.775,-51.0755,0.14,0.15120442708333334
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA3Ng==,2020-12-29T09:40:29+00:00,LBAND,106.53935730841141,72.99876985131758,0.02365486718932515,59400.0,0.9987,98.533,331.732574462891,3.791,-50.8373,0.14,0.17122395833333334
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDAzNg==,2020-04-28T00:49:10+00:00,LBAND,105.99931454205627,73.06302539148248,0.02538552636590566,59400.0,1.1141,102.936,317.208770751953,3.808,-49.089,0.14,0.15665690104166666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzAwMA==,2021-02-23T04:26:30+00:00,LBAND,105.99950235514038,73.00072033982568,0.023903782451317815,59400.0,0.7906,95.477,277.166778564453,3.178,-50.8665,0.18,0.16845703125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODM5Mzg=,2025-05-16T21:05:00+00:00,LBAND,103.56309891588802,73.00619868157084,0.009517841219163404,59400.0,0.2919,38.173,438.014190673828,5.673,-47.7298,0.11,0.117919921875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODYyNTY=,2025-08-15T16:00:58+00:00,LBAND,103.48290033644878,73.03444837012786,0.41056617403347945,59400.0,506.0204,1941.309,340.348937988281,3.45,-51.6884,0.12,0.09025065104166667
