ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTczNzc=,2019-11-18T23:07:03+00:00,LBAND,328.5642479252334,98.29725807617815,0.03727740236401389,59400.0,0.0913,141.887,492.294586181641,1.272,53.1624,0.21,0.09455818965517242
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc1ODM=,2020-04-19T17:01:40+00:00,LBAND,109.90704448598113,98.46248948367787,0.12592718880977016,59400.0,0.8702,540.992,193.754272460938,2.074,51.5537,0.23,0.16774338942307693
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc2ODg=,2020-05-16T15:17:20+00:00,LBAND,90.8582100934578,98.30407086248837,0.11721704755134205,59400.0,0.7478,484.122,205.466903686523,2.413,51.9007,0.26,0.1234375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc4OTM=,2020-07-11T11:54:02+00:00,UHF,89.55273599999985,98.41007739891954,0.024851449638435115,59400.0,0.2375,249.368,352.7822265625,6.008,50.7488,0.17,0.098828125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc3ODM=,2020-06-13T13:31:13+00:00,LBAND,89.83481899065407,98.22001532352367,0.12705847923938227,59400.0,0.785,532.785,185.71435546875,2.07,52.2315,0.29,0.13212890625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTgwMDA=,2020-08-08T09:16:41+00:00,LBAND,89.83481899065407,98.30308129292284,0.1038750464588208,59400.0,0.6299,441.49,181.621139526367,2.179,53.8994,0.22,0.1615234375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTgzMjQ=,2020-10-27T03:20:29+00:00,LBAND,88.50183057943912,98.37663411345532,0.12898600668283103,59400.0,0.6787,555.072,115.189949035645,1.39,54.1113,0.39,0.12470703125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTgxMDg=,2020-09-05T07:32:33+00:00,LBAND,89.60262100934565,98.36602749027828,0.18643568650029188,59400.0,1.4286,818.109,121.843109130859,1.613,51.6345,0.39,0.13740234375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTgyMTU=,2020-10-01T05:03:45+00:00,LBAND,89.52522168224284,98.41178452265514,0.10814726906263611,59400.0,0.4369,460.442,119.112945556641,1.497,53.8934,0.3,0.12265625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg0MTA=,2020-11-28T01:10:24+00:00,LBAND,89.52522168224284,98.2842086877814,0.06101839896296354,59400.0,0.2399,251.343,282.585876464844,3.129,53.0127,0.19,0.09658203125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg1MDk=,2020-12-26T22:44:33+00:00,LBAND,89.52522168224284,98.30069759140011,0.08398364212895462,59400.0,0.3709,350.54,152.296859741211,2.04,53.3855,0.24,0.13720703125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg3MjA=,2021-02-19T19:24:44+00:00,LBAND,89.52522168224284,98.43199558362554,0.11225967703117755,59400.0,0.5837,470.981,141.380340576172,1.454,50.5425,0.46,0.1205078125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg2MTk=,2021-01-25T21:10:14+00:00,LBAND,89.52522168224286,98.4548236831254,0.06327712209368325,59400.0,0.2214,263.085,176.228164672852,2.068,51.5724,0.33,0.11884765625
