ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzQ2Nzk=,2024-03-22T05:10:03+00:00,LBAND,118.60912568224305,60.88426775365872,0.012218692701937428,59400.0,1.2729,49.425,242.089233398438,2.961,97.1397,0.09,0.14690290178571427
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzcyMTY=,2024-07-09T21:50:34+00:00,LBAND,119.4695309158879,60.89445827297726,0.020626294725001743,59400.0,1.7018,90.959,135.392242431641,1.998,98.4988,0.14,0.13399832589285715
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYxMTM=,2022-02-19T07:44:56+00:00,LBAND,118.53667050467297,60.92060722251457,0.01130249189271087,59400.0,0.4798,44.667,165.677795410156,1.939,97.6757,0.15,0.16834435096153846
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY0Mzc=,2022-08-11T20:38:20+00:00,LBAND,119.46953091588792,60.89198703111907,0.011044990895707875,59400.0,1.0788,45.878,241.520233154297,2.842,98.5444,0.1,0.18805803571428573
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzM4MTM=,2024-02-26T06:44:44+00:00,LBAND,119.4695309158879,60.88832683436236,0.00932637908033986,59400.0,0.9146,38.491,279.173217773438,3.025,95.736,0.09,0.12527901785714285
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY4NDY=,2023-03-17T05:55:26+00:00,LBAND,119.46953091588792,60.889078848188184,0.01001764658030544,59400.0,1.2326,43.334,268.464202880859,3.523,96.8924,0.08,0.13616071428571427
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY2MDY=,2022-11-14T13:32:53+00:00,LBAND,118.60912568224306,60.9202817200044,0.010092659661867212,59400.0,0.9146,43.833,197.323669433594,2.619,94.7494,0.11,0.23409598214285715
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY0Mjk=,2022-08-05T17:42:17+00:00,LBAND,89.5274287850468,60.907257696097126,0.011957378765944644,59400.0,0.6236,48.8,153.631896972656,2.611,98.8897,0.12,0.14130859375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY5MDA=,2023-04-12T01:10:26+00:00,LBAND,89.52742878504678,60.91449892786725,0.011542820841569934,59400.0,0.6843,45.517,186.690063476562,3.227,97.8955,0.11,0.140625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU1MzI=,2020-08-29T19:23:29+00:00,LBAND,89.5274287850468,60.91914891687389,0.012421243922171444,59400.0,1.1573,51.085,209.417251586914,3.329,97.8053,0.1,0.122265625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzU1MTc=,2024-04-17T04:02:57+00:00,LBAND,118.99937854205615,60.88174283322998,0.01150303387210869,59400.0,1.2256,48.052,220.821884155273,2.852,97.725,0.09,0.13018329326923078
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTcxNzY=,2020-11-20T14:53:17+00:00,LBAND,89.5274287850468,60.8623995662226,0.013180866275221624,59400.0,1.1504,57.225,197.660140991211,2.774,97.7223,0.11,0.11357421875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYxMDc=,2022-02-10T05:11:26+00:00,LBAND,88.50399940186922,60.92378859564902,0.022506527145568292,59400.0,1.5105,93.137,121.63695526123,2.052,98.1942,0.17,0.15498046875
