ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzU0Mjk=,2024-04-16T04:48:07+00:00,LBAND,134.54891065420566,44.942372449276355,0.06316774509801754,59400.0,0.8098,292.362,93.1914596557617,3.596,-8.46137,0.5,0.216015625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzM1OTA=,2023-04-13T03:16:04+00:00,LBAND,135.5498251962615,45.23821964170643,1.8896839491274942,59400.0,2104.0078,7375.953,163.712417602539,9.961,-6.34889,0.06,0.14691162109375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzI3NDY=,2022-12-16T11:00:11+00:00,LBAND,132.99972545794375,44.27741600749513,3.8430583346140508,59400.0,2538.8133,14935.595,67.6840896606445,6.563,-2.92147,0.23,0.16373697916666666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjc4NTQ=,2020-01-28T02:07:48+00:00,LBAND,1618.4516115140184,38.016,54.701,58876.0952,None,None,14.8261823654175,0.124,None,None,0.18848108594956253
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjc4NjA=,2020-01-30T05:38:19+00:00,LBAND,1618.606443663551,45.06392517016638,0.013487926620293939,59400.0,4.7751,54.801,997.785095214844,1.133,-12.1289,0.14,0.2134264024704066
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzY4MTE=,2024-07-09T21:29:05+00:00,LBAND,134.99959267289725,44.96506759871185,0.026639298287069336,59400.0,0.2936,118.659,177.032562255859,8.608,-2.46182,0.04,0.17962239583333334
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzQ0NTI=,2023-05-15T02:45:25+00:00,LBAND,132.465532411215,45.03027694805227,0.03832449604335358,59400.0,1.9009,155.117,212.525939941406,3.524,-10.7864,0.23,0.23899739583333332
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzQ0NjE=,2023-06-13T22:33:49+00:00,LBAND,132.548732411215,44.923596158843935,0.04271535642350495,59400.0,0.6201,176.863,115.890403747559,1.587,-9.94308,0.36,0.19095052083333333
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzExMzU=,2022-04-17T03:02:54+00:00,LBAND,133.5502414953269,45.04784730616582,0.07042482990359401,59400.0,1.388,287.885,100.485084533691,1.214,-10.6383,0.39,0.17493489583333333
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzE3Mjk=,2022-07-14T21:12:35+00:00,LBAND,132.9996058317755,44.74393701077939,2.641803448078219,59400.0,492.942,12300.157,64.9307327270508,6.261,-3.71274,0.1,0.1615234375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzIzMzk=,2022-10-10T16:11:12+00:00,LBAND,135.5498251962615,44.88567374545591,0.06419421848821129,59400.0,0.7443,261.016,89.9089508056641,2.482,-8.87715,0.96,0.237109375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjg2NTg=,2020-07-20T16:41:37+00:00,UHF,318.9991341176471,44.947114342445445,0.009942860010630446,59400.0,1.4633,87.299,323.273620605469,2.992,-10.2991,0.07,0.1078844572368421
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzA2MTI=,2022-01-16T10:08:16+00:00,LBAND,135.54982519626148,45.06736596040007,0.048173361721690844,59400.0,1.9837,199.031,179.65966796875,2.068,-11.8888,0.29,0.175390625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjc2NTE=,2019-09-29T13:20:16+00:00,LBAND,199.9995908785044,45.004663714957516,0.02753105067244716,59400.0,0.8071,111.159,188.223587036133,0.763,-11.554,0.43,0.2674756371814093
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzYwMDU=,2024-05-21T01:35:55+00:00,LBAND,132.99947065420568,44.97394453285682,0.020071676886682255,59400.0,0.6195,79.577,240.182250976562,2.06,-11.5722,0.22,0.172265625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjg5NzQ=,2020-09-13T11:53:10+00:00,LBAND,317.54665031775676,45.07144704147223,0.021339876610090236,59400.0,1.0512,88.37,305.953308105469,1.612,-11.214,0.18,0.19366776315789475
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzI1NDM=,2022-11-14T13:06:07+00:00,LBAND,134.55037727102786,44.9613675955626,0.024765198993341266,59400.0,1.0324,79.01,295.164398193359,4.149,-13.8188,0.17,0.2044921875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mzg1NjQ=,2023-11-13T13:35:15+00:00,LBAND,132.99958190654212,45.06313023483399,0.05338357596866832,59400.0,0.8551,215.46,98.962287902832,3.654,-0.594029,0.57,0.25266927083333335
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzIxNDE=,2022-09-11T17:20:19+00:00,LBAND,132.99954362616805,45.069359086306235,0.02321700283553348,59400.0,0.6645,92.244,229.166885375977,1.594,-12.2815,0.24,0.212109375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzEzMzQ=,2022-05-19T01:57:58+00:00,LBAND,133.55036471028018,45.52445631490936,0.0630365477472768,59400.0,4.7233,265.878,384.947723388672,2.71,-8.93213,0.13,0.16627604166666668
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjgxNjY=,2020-05-07T21:21:08+00:00,LBAND,320.80444530841106,44.98826417195171,0.0475334316106795,59400.0,1.5352,219.581,159.91926574707,2.122,-11.613,0.37,0.20377604166666666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjgzMzI=,2020-05-30T20:16:03+00:00,LBAND,316.9997063177568,44.99714502640156,0.021927239735492095,59400.0,0.9097,93.756,221.437561035156,1.381,-11.035,0.28,0.20458984375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjg0ODk=,2020-06-19T19:47:40+00:00,LBAND,319.859801719626,45.065147888054874,0.014083357411975436,59400.0,0.9012,62.458,381.399322509766,1.938,-10.5404,0.17,0.19103064903846154
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjg4MTg=,2020-08-15T13:46:59+00:00,LBAND,316.99968119626146,45.07609768108962,0.03757043518340541,59400.0,0.8687,147.335,145.599578857422,0.929,-11.1333,0.45,0.18400493421052633
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjkxMjU=,2020-10-11T11:34:42+00:00,LBAND,317.99954422429886,45.09021523410334,0.03209382268974453,59400.0,1.3019,138.663,187.036071777344,1.055,-12.4187,0.29,0.18919613486842105
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjkyNDA=,2020-11-02T11:58:57+00:00,LBAND,318.999645308411,45.53324952571355,0.05218184059968577,59400.0,7.1339,227.834,1060.78076171875,4.114,-10.3456,0.07,0.16344572368421054
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjkzOTI=,2020-12-05T07:01:53+00:00,LBAND,318.99952328971943,45.03071387642969,0.030138450814511452,59400.0,1.2504,122.572,229.401473999023,1.111,-10.9066,0.29,0.15129009046052633
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzY0ODY=,2024-06-18T22:53:28+00:00,LBAND,135.54842915887858,44.62270152532651,2.4092180947987853,59400.0,2568.1663,9025.82,152.803604125977,6.531,-2.66925,0.12,0.16985677083333334
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjk2ODk=,2021-01-29T07:46:55+00:00,LBAND,318.5466868037381,45.04237573370167,0.026678956957179215,59400.0,0.6012,116.142,154.619171142578,1.608,-10.9087,0.27,0.19659745065789475
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjk4NDA=,2021-02-23T03:22:33+00:00,LBAND,318.9995519999998,45.0171211157558,0.025560201279323846,59400.0,1.2671,100.4,274.980682373047,1.288,-10.9372,0.26,0.17539576480263158
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Nzc2NzA=,2024-08-10T19:56:41+00:00,LBAND,134.99950654205614,44.905754416935,0.06885166429466488,59400.0,2.0682,293.6,139.569915771484,2.065,-13.5061,0.29,0.20846354166666667
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzE5Mjg=,2022-08-11T19:22:20+00:00,LBAND,135.5498251962615,44.943072305282094,0.11184927740675478,59400.0,1.0089,399.55,69.6537475585938,5.874,-2.64613,0.05,0.17779541015625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzI5NDk=,2023-01-22T08:35:12+00:00,LBAND,135.4714676635512,45.10386041391951,0.04536883351842807,59400.0,0.5106,175.973,91.0701522827148,3.746,4.0,None,0.19264322916666668
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzMzOTQ=,2023-03-17T05:26:04+00:00,LBAND,135.5498251962615,44.96636329020861,0.054949952276959854,59400.0,1.0076,250.163,78.860237121582,0.845,-11.3934,0.36,0.2266845703125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzM5MzM=,2020-03-01T06:53:58+00:00,LBAND,319.5100052336446,45.48675315398315,0.05429763418582239,59400.0,5.2415,234.825,620.779174804688,2.687,-9.98209,0.11,0.17375102796052633
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzQyMjE=,2022-03-21T04:53:02+00:00,LBAND,133.5501146915886,44.90652693439897,1.2890086674677528,59400.0,2215.1923,4959.578,229.701782226562,3.085,-10.279,0.22,0.18203125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjk1MjI=,2020-12-29T08:38:16+00:00,LBAND,319.54637158878484,45.05545463887663,0.030377392782410913,59400.0,1.4493,125.015,247.695343017578,1.337,-11.7952,0.24,0.17179790296052633
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDg=,2023-05-05T16:26:40+00:00,UHF_NS,599.9999180800003,None,None,None,None,None,3.42542266845703,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDk=,2023-06-08T14:13:09+00:00,UHF_NS,579.9999590400002,None,None,None,None,None,3.05426287651062,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDAzOTQ=,2023-05-02T16:38:29+00:00,UHF_NS,579.9999488000003,None,None,None,None,None,5.62257814407349,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDAzOTU=,2023-06-02T14:36:44+00:00,UHF_NS,595.0458777600002,None,None,None,None,None,5.81154870986938,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDAzOTY=,2023-05-20T15:27:50+00:00,UHF_NS,579.9999488000002,None,None,None,None,None,3.65865778923035,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDAzOTc=,2023-05-29T14:52:27+00:00,UHF_NS,579.9999385600001,None,None,None,None,None,2.50197768211365,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDAzOTg=,2023-06-14T13:49:33+00:00,UHF_NS,579.9998976000002,None,None,None,None,None,5.11111450195312,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDAzOTk=,2023-05-23T15:16:03+00:00,UHF_NS,595.0458368000002,None,None,None,None,None,5.51597309112549,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDA=,2023-06-17T13:37:45+00:00,UHF_NS,579.9999283200002,None,None,None,None,None,4.34956407546997,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDE=,2023-06-23T13:14:10+00:00,UHF_NS,579.9999283200002,None,None,None,None,None,4.47904348373413,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDI=,2023-05-11T16:03:06+00:00,UHF_NS,579.9999180800003,None,None,None,None,None,4.00323581695557,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDM=,2023-06-26T13:02:23+00:00,UHF_NS,595.0458368000002,None,None,None,None,None,4.37543487548828,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDQ=,2023-05-26T15:04:15+00:00,UHF_NS,579.9999283200002,None,None,None,None,None,6.86833906173706,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDU=,2023-06-11T14:01:21+00:00,UHF_NS,578.9998592000002,None,None,None,None,None,4.01729297637939,None,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDA0MDY=,2023-05-17T15:39:40+00:00,UHF_NS,579.9999078400001,None,None,None,None,None,7.0332350730896,0.008980323205264842,None,None,None
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzY1MDY=,2023-09-13T17:10:19+00:00,LBAND,132.999571140187,44.99215146030901,0.03457148064726697,59400.0,1.232,143.097,220.740631103516,5.73,29.6025,0.22,0.22916666666666666
