ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg3NDY=,2021-02-23T04:42:42+00:00,LBAND,90.53422295327108,160.13177396245726,0.023585691597077248,59400.0,0.7412,99.767,117.516326904297,1.811,-133.988,0.48,0.1162109375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzM5NDI=,2024-02-06T08:38:38+00:00,LBAND,119.5482102429907,160.18090407699475,0.02585702546038434,59400.0,1.3241,110.334,155.078247070312,1.986,-135.159,0.26,0.16385323660714285
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjA0NTE=,2022-12-08T08:48:15+00:00,LBAND,119.5482102429907,160.15987108443892,0.023096418957408684,59400.0,1.2609,97.585,177.66162109375,1.991,-133.683,0.48,0.14041573660714285
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg1MzI=,2020-12-29T09:56:18+00:00,LBAND,90.53422295327111,160.18221544955117,0.02496070771083962,59400.0,1.0581,107.593,157.423370361328,1.854,-132.851,0.41,0.130859375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjA1NzM=,2023-01-02T07:08:44+00:00,LBAND,119.54821024299073,160.18313987306772,0.019422631443332738,59400.0,0.9612,83.886,185.767517089844,2.166,-134.022,0.41,0.13399832589285715
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjA5NDQ=,2023-04-02T04:48:42+00:00,LBAND,119.54821024299073,160.15844616173018,0.01653293032877139,59400.0,0.8564,68.815,198.185485839844,2.084,-130.485,0.26,0.13413783482142858
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc0NzM=,2020-02-24T02:12:15+00:00,LBAND,91.55720852336454,160.16684611646613,0.03610764190794838,59400.0,1.7924,151.445,136.073104858398,1.863,-134.611,0.46,0.14506392045454544
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTczOTA=,2019-11-29T15:23:37+00:00,LBAND,401.552075364486,160.1632623067539,0.005614676343766449,59400.0,0.4757,22.362,523.747985839844,1.449,-131.008,0.24,0.1090341308937368
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc3MTg=,2020-05-26T20:38:39+00:00,LBAND,90.85170123364492,160.17683013036805,0.032507964728887485,59400.0,0.938,141.147,95.6287002563477,1.465,-128.664,0.6,0.18883167613636365
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc4MTI=,2020-06-19T20:52:02+00:00,LBAND,90.85170123364492,160.19899355154985,0.03636087771550366,59400.0,1.1915,150.505,126.577201843262,1.537,-131.048,0.55,0.12568359375
