ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzU1Mzg=,2023-07-30T13:52:33+00:00,LBAND,118.99953525233624,60.78491377434974,0.0770473460277479,59400.0,1.1736,324.314,154.581146240234,3.159,-14.4839,None,0.20650540865384615
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzU1MzQ=,2023-06-23T15:30:51+00:00,LBAND,116.99953285981289,60.58828069869341,0.09139580915706606,59400.0,0.4971,395.475,86.7982330322266,2.559,10.0429,0.44,0.1583533653846154
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzU1MzA=,2023-10-24T07:14:00+00:00,LBAND,119.5507738317755,94.94501996528929,19.553696551992168,59400.0,10462.7493,58341.987,73.242301940918,2.469,-0.468781,0.4,0.1485877403846154
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzU1NDI=,2023-08-28T12:20:13+00:00,LBAND,119.4692186915886,50.909842795954255,12.057512512554448,59400.0,11079.136,36660.142,114.788009643555,4.998,1.56822,0.49,0.14397321428571427
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzE4MDU=,2022-07-23T13:40:28+00:00,LBAND,119.5507738317755,60.83666637749274,0.1751538601049624,59400.0,2.8784,829.019,87.1083908081055,1.041,-21.6889,0.89,0.2533482142857143
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzUzMDM=,2024-04-30T18:37:43+00:00,LBAND,118.55115603738298,60.79883862529175,0.11996566456363175,59400.0,0.9266,455.522,76.0237503051758,1.285,-16.1017,0.66,0.22318209134615385
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzczNDg=,2024-07-18T14:14:19+00:00,LBAND,116.99958549532691,60.71034198517655,0.04641286242751448,59400.0,0.8968,161.283,247.061569213867,4.98,-7.16162,0.23,0.2342247596153846
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzIyMTQ=,2022-10-01T09:05:24+00:00,LBAND,119.5507738317755,60.32118255800185,0.12341641927357881,59400.0,1.3223,522.737,92.7913436889648,2.362,1.0,None,0.18191964285714285
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzQyMDY=,2022-02-25T23:35:03+00:00,LBAND,118.46984613084092,60.62875471280894,0.2070901977884354,59400.0,2.7045,733.949,95.0592269897461,1.159,-19.4774,2.15,0.2273888221153846
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjk1MTI=,2020-12-27T01:22:23+00:00,LBAND,231.99999999999977,60.844147863131965,0.0689347391186323,59400.0,0.6738,257.216,116.605102539062,1.042,-23.1852,4.07,0.22544126157407407
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjg4MDA=,2020-08-08T11:55:30+00:00,LBAND,233.7823401869157,60.70128701069394,0.49486663433463096,59400.0,106.7748,2363.624,184.861770629883,1.629,-18.3471,0.31,0.20420619419642858
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjc4NDM=,2020-01-11T02:43:07+00:00,LBAND,1130.5778841121491,60.663148695233005,0.04369718841864562,59400.0,5.0873,153.981,605.597900390625,1.109,-16.5523,0.32,0.15614993842364533
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjg5NTY=,2020-09-05T10:11:20+00:00,LBAND,231.9993851214951,60.733604056077006,0.029694208356541112,59400.0,2.1802,143.549,419.346374511719,3.517,-18.3076,0.14,0.19563802083333334
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzA1MDQ=,2022-01-03T04:38:25+00:00,UHF,233.27028705882336,60.399637726804315,0.01382388127868327,59400.0,1.4421,130.829,445.832458496094,4.344,-18.2925,0.1,0.09966169084821429
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzQ5MTU=,2024-03-31T20:54:55+00:00,LBAND,118.55125532710261,60.404665614659514,0.15000204939507694,59400.0,0.6592,652.239,49.8049125671387,0.93,-27.064,4.48,0.1435546875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MzIwMTc=,2022-08-28T11:18:06+00:00,LBAND,116.53632358878485,60.20417601772182,0.183862646620188,59400.0,2.2967,785.245,129.051483154297,4.497,-28.6203,0.13,0.2917668269230769
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzYyMzU=,2024-05-28T17:59:36+00:00,LBAND,119.4692186915886,53.08802413814947,25.000898061588572,59400.0,805.4595,82159.709,71.2001266479492,3.616,47.4655,1.36,0.17037259615384615
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjc5NDQ=,2020-03-01T04:13:42+00:00,LBAND,231.46572441121472,59.50131469376744,3.8985082864820964,59400.0,3665.5356,14686.5,162.647171020508,1.222,8.42297,0.83,0.21513310185185186
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjg0NzY=,2020-06-13T16:10:52+00:00,LBAND,232.83992523364464,60.751573823640285,0.046812048710229454,59400.0,0.8565,209.394,190.005874633789,1.663,-18.1826,0.3,0.18017578125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjkzNzQ=,2020-11-28T03:48:34+00:00,LBAND,233.5467364485979,60.675904866566704,0.09407263901745663,59400.0,0.541,301.947,91.602180480957,1.087,-4.68058,0.93,0.19782366071428573
