ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzU1NDc=,2024-04-29T17:53:36+00:00,LBAND,255.49566085981306,2.640240202415646,1.670766085622115e-05,55486.0,1.171,0.045,10084.1484375,68.492,0.697891,0.02,0.08821614583333333
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODk4NQ==,2022-01-12T01:43:53+00:00,LBAND,255.4990582429906,2.642646030791545,0.00018723604382822343,55486.0,2.336,0.7,790.330993652344,4.07,1.15284,0.06,0.04914314516129032
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzY3NDQ=,2024-07-09T11:03:28+00:00,LBAND,255.57379110280374,2.640176724020927,2.705249331286257e-05,55486.0,4.1265,0.064,15413.201171875,104.394,-0.386776,0.02,0.11715494791666667
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTAyOA==,2019-10-18T21:34:46+00:00,LBAND,202.58093457943917,2.6433886505589403,1.086471013919437e-05,55486.0,2.4659,0.036,19023.982421875,145.755,1.0316,0.02,0.07581896551724138
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTA2Nw==,2019-10-31T02:42:12+00:00,LBAND,258.5564112149532,2.643212123996468,1.030389097401363e-05,55486.0,3.1034,0.036,22400.021484375,178.258,0.925505,0.02,0.05488737486095662
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTA5OQ==,2019-11-06T02:00:30+00:00,LBAND,267.4936822429906,2.6432979273073745,1.162177673366797e-05,55486.0,5.7066,0.041,24026.21484375,176.355,0.904204,0.02,0.048589341692789965
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTA1Nw==,2019-10-28T01:08:57+00:00,LBAND,302.459214953271,2.6433041353525444,1.14170048570025e-05,55486.0,4.5734,0.039,22502.546875,140.246,1.02405,0.02,0.03214798850574713
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTA1MQ==,2019-10-27T05:41:22+00:00,LBAND,302.459214953271,2.6432498774047857,9.72756284614886e-06,55486.0,3.8462,0.035,24994.791015625,153.039,0.843218,0.02,0.0568208294501398
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDkwOA==,2019-08-28T02:42:58+00:00,LBAND,307.3985794392523,2.6434188566926733,6.39833785022321e-06,55486.0,1.1965,0.023,24078.357421875,171.051,0.976222,0.02,0.036113699906803354
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDk2OQ==,2019-09-26T00:14:33+00:00,LBAND,514.5265046728971,2.6433460965316553,9.88849425212427e-06,55486.0,3.9711,0.035,32544.841796875,184.546,1.01192,0.02,0.050064997263273125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDk3NQ==,2019-09-27T05:33:54+00:00,LBAND,513.5072897196261,2.643392494872847,1.234534457480738e-05,55486.0,8.2244,0.04,29475.732421875,153.816,0.856072,0.02,0.06941023535851122
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyOA==,2019-12-29T23:40:03+00:00,LBAND,12002.83991566355,None,None,None,None,None,43570.46875,109.494,None,None,0.07667448872164777
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyMw==,2019-12-27T23:56:16+00:00,LBAND,12002.839915663551,None,None,None,None,None,43604.8828125,209.695,None,None,0.06738688422489994
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIzNw==,2019-12-31T23:02:33+00:00,LBAND,14001.84043424299,None,None,None,None,None,43330.00390625,122.278,None,None,0.09071645851200687
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIzNg==,2019-12-31T19:02:19+00:00,LBAND,14402.846490317756,None,None,None,None,None,43055.2109375,135.589,None,None,0.08172766880037521
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIxNg==,2019-12-26T20:05:04+00:00,LBAND,14402.924735401868,None,None,None,None,None,44813.66015625,194.142,None,None,0.0806975012159533
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyMQ==,2019-12-27T15:55:52+00:00,LBAND,14402.768245233645,None,None,None,None,None,43337.58203125,219.85,None,None,0.07227770310762924
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyOQ==,2019-12-30T15:25:03+00:00,LBAND,14402.846490317757,None,None,None,None,None,43003.6796875,155.338,None,None,0.07459445529513889
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyNQ==,2019-12-28T22:52:51+00:00,LBAND,14402.846490317757,None,None,None,None,None,43649.42578125,188.956,None,None,0.07920063012437466
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyMg==,2019-12-27T19:56:04+00:00,LBAND,14402.846490317757,None,None,None,None,None,44897.390625,111.055,None,None,0.08044657513722901
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyNw==,2019-12-29T19:39:50+00:00,LBAND,14402.768245233643,None,None,None,None,None,43508.48828125,184.1,None,None,0.07202948676215278
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyNg==,2019-12-29T15:39:36+00:00,LBAND,14401.902658990653,None,None,None,None,None,42691.43359375,143.7,None,None,0.07794111420407171
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIzMA==,2019-12-30T19:25:16+00:00,LBAND,14402.846490317756,None,None,None,None,None,44065.4296875,158.122,None,None,0.07111589772095608
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIyNA==,2019-12-28T14:52:22+00:00,LBAND,14402.846490317756,None,None,None,None,None,45276.56640625,158.245,None,None,0.09583930121527778
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTIxNw==,2019-12-27T00:05:16+00:00,LBAND,10801.861009943925,2.641822718458175,8.500905940428561e-05,55486.0,0.6909,0.182,43250.65625,188.621,0.898051,0.02,0.09334967452742772
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTE5NQ==,2019-12-16T19:22:43+00:00,LBAND,258.5564112149532,2.643199976455425,6.98338515432711e-06,55486.0,1.4009,0.024,20057.060546875,150.506,0.968211,0.02,0.05874582869855395
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTE0OA==,2019-11-26T02:43:45+00:00,LBAND,301.51895327102795,2.643262914052293,1.288265126480578e-05,55486.0,3.7534,0.041,21253.068359375,115.542,1.03029,0.02,0.0610632183908046
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTQ4OA==,2020-04-09T07:45:30+00:00,LBAND,264.51496194392513,2.643022507602768,2.811712485320758e-05,55486.0,4.2642,0.067,14744.5654296875,93.482,1.36911,0.02,0.08843994140625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTQxMA==,2020-03-12T21:16:11+00:00,LBAND,256.5177707663551,2.6430457327471526,2.305621232088661e-05,55486.0,3.0277,0.072,12011.4443359375,89.857,1.07548,0.02,0.27337449596774194
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTc1Nw==,2020-07-10T05:26:12+00:00,UHF,255.358945882353,2.6438567840686,8.116866102628528e-05,55486.0,0.3788,0.643,8556.2001953125,204.466,-0.640942,0.02,0.0936554939516129
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NjA2Ng==,2020-10-10T21:27:53+00:00,LBAND,255.5776957009345,2.6429144559705433,1.757934879356996e-05,55486.0,1.947,0.046,28839.361328125,243.042,0.99546,0.02,0.08143271169354839
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NjM1Nw==,2021-01-21T00:09:46+00:00,LBAND,253.53907917757002,2.6427867743384654,2.272564781347998e-05,55486.0,3.7444,0.063,25895.47265625,170.724,0.952843,0.02,0.07001953125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTYxMQ==,2020-05-24T16:53:07+00:00,LBAND,255.8124165981308,2.6429754140621107,2.925889835253208e-05,55486.0,5.4213,0.059,20315.646484375,133.904,1.00964,0.02,0.08439390120967742
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzU4OTA=,2024-05-13T14:53:08+00:00,LBAND,255.57379110280374,2.640262422077773,1.875079720639482e-05,55486.0,2.4277,0.05,22146.513671875,133.035,-0.459418,0.02,0.11854208669354839
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NjU4NQ==,2021-04-14T16:03:24+00:00,LBAND,255.5776957009345,2.6424874031080376,2.254969225093704e-05,55486.0,4.7256,0.046,28859.47265625,199.853,0.791751,0.02,0.07091103830645161
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Njc2OQ==,2021-06-21T14:18:33+00:00,LBAND,255.4990582429906,2.642496169364847,2.680420582886689e-05,55486.0,6.5415,0.059,32498.4609375,252.409,0.836068,0.02,0.08080267137096774
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Njg4Ng==,2021-08-05T08:13:36+00:00,LBAND,254.5577917009345,2.6424740910738196,2.148981440554939e-05,55486.0,2.6857,0.052,14940.6533203125,112.278,0.767156,0.02,0.11285807291666666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Njk3NQ==,2021-09-25T04:54:05+00:00,LBAND,254.55779170093453,2.6424348869719516,2.397705598899632e-05,55486.0,4.2044,0.065,21177.23828125,130.42,0.800633,0.02,0.08439390120967742
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzAxMw==,2021-10-14T03:18:32+00:00,LBAND,255.5776957009345,2.6423588766810027,3.685136312230246e-05,55486.0,8.0637,0.093,22959.0234375,186.054,0.975926,0.02,0.17333984375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzIwMQ==,2021-12-16T01:03:46+00:00,LBAND,255.4990582429906,2.6424226414468905,1.596835064100519e-05,55486.0,1.4123,0.04,15477.853515625,97.907,0.855849,0.02,0.09897933467741936
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzcyOQ==,2022-06-17T11:49:22+00:00,LBAND,254.48034571962611,2.6417543863574937,1.296500710210558e-05,55486.0,1.1742,0.038,26884.677734375,189.594,0.0190329,0.02,0.08546496975806452
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODIxMw==,2022-12-20T02:33:29+00:00,LBAND,255.5776957009345,2.6413435049777063,2.279996924803065e-05,55486.0,3.4018,0.063,13209.6640625,82.865,0.866558,0.02,0.10140498991935484
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODM5OA==,2023-03-11T18:26:22+00:00,LBAND,255.49905824299057,2.6411810621685046,1.842281657358454e-05,55486.0,2.3763,0.048,16342.953125,101.839,0.346446,0.02,0.0735257056451613
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODM0OQ==,2023-02-14T19:18:21+00:00,LBAND,255.4990582429906,2.641115919807739,2.363724994931401e-05,55486.0,3.9603,0.058,20307.716796875,141.462,-0.361128,None,0.07692792338709678
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyMg==,2019-12-28T18:52:37+00:00,LBAND,14402.846490317756,None,None,None,None,None,45621.875,134.192,None,None,0.08527713964355198
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyMw==,2019-12-31T15:02:05+00:00,LBAND,14401.824413906541,None,None,None,None,None,42823.35546875,181.582,None,None,0.08166198560832406
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcwNw==,2019-10-16T21:37:10+00:00,LBAND,257.5371962616822,2.643324027754692,9.53251120997659e-06,55486.0,0.8472,0.029,11156.078125,79.439,0.961874,0.02,0.077690489432703
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODU4Mg==,2023-05-25T13:01:40+00:00,LBAND,255.49566085981306,2.6406870581918938,2.801559458623281e-05,55486.0,6.2345,0.067,24835.587890625,199.541,-0.510849,0.02,0.10354712701612903
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODUzOA==,2023-05-09T17:18:24+00:00,LBAND,254.55779170093453,2.640757834588263,4.176666381387464e-05,55486.0,13.2807,0.095,27022.78125,197.396,0.64505,0.02,0.08990885416666666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODg0OA==,2020-11-03T18:03:21+00:00,LBAND,255.57769570093453,2.642856011388045,2.428927499687816e-05,55486.0,2.5317,0.083,7719.8154296875,60.041,1.13014,0.02,0.17653729838709678
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTA0MQ==,2022-06-28T11:25:19+00:00,LBAND,255.4990582429906,2.6416995847078777,2.424140187226162e-05,55486.0,3.7554,0.069,24324.986328125,211.153,0.37421,0.02,0.09469506048387097
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODk4Mg==,2021-12-30T02:33:45+00:00,LBAND,255.49905824299057,2.642315813593715,2.425629046478923e-05,55486.0,4.4393,0.063,27165.986328125,162.335,0.9831,0.02,0.11088709677419355
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTE1Mw==,2020-06-05T06:05:32+00:00,LBAND,255.8910540560747,2.6429560312053635,2.552380873985297e-05,55486.0,4.3188,0.06,21987.40625,142.52,1.00821,0.02,0.09034778225806452
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTEwMQ==,2023-01-24T21:33:31+00:00,LBAND,255.4990582429906,2.641192990322394,2.139514993082797e-05,55486.0,4.3044,0.058,20594.0859375,142.283,0.654305,0.02,0.08483492943548387
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTIwNA==,2021-12-01T00:07:34+00:00,LBAND,255.4990582429906,2.642346083534398,2.851470765984565e-05,55486.0,4.9742,0.077,15293.6484375,108.641,0.963796,0.02,0.10981602822580645
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTAzMA==,2022-05-31T15:04:53+00:00,LBAND,255.4990582429906,2.6417653353755,2.031960504667208e-05,55486.0,2.8825,0.058,22129.279296875,146.566,0.600094,0.02,0.09671118951612903
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTE2OA==,2019-12-14T00:22:45+00:00,LBAND,302.538168224299,2.643162107168001,1.08813074114594e-05,55486.0,5.5073,0.039,27594.76171875,175.316,0.93202,0.02,0.05842264678471575
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzM1ODk=,2024-03-06T20:48:27+00:00,LBAND,255.49566085981306,2.6404196445274195,2.219789188100266e-05,55486.0,3.3491,0.051,23103.251953125,142.084,0.729354,0.02,0.06691028225806452
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTc5MA==,2020-07-17T04:15:15+00:00,LBAND,255.8124165981308,2.643081857976084,1.955854320008024e-05,55486.0,2.2665,0.057,14496.146484375,96.271,0.994467,0.02,0.08247227822580645
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NjUyNA==,2021-03-17T19:58:34+00:00,LBAND,255.4990582429906,2.6424251570240336,2.575808451170658e-05,55486.0,6.2213,0.059,29663.404296875,230.852,0.925881,0.02,0.08568548387096774
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTIwNw==,2022-04-20T15:53:26+00:00,LBAND,255.4990582429906,2.6418999073285208,1.919860960940015e-05,55486.0,1.6963,0.062,28172.478515625,230.609,-0.0289553,0.02,0.07651839717741936
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NjQ0OA==,2021-02-18T19:33:25+00:00,LBAND,255.4990582429906,2.6426278321080985,2.79921951069729e-05,55486.0,7.5096,0.067,33910.14453125,291.716,0.867131,0.02,0.06313004032258064
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NDkyMg==,2019-09-07T10:12:50+00:00,LBAND,263.7314392523363,2.643456037916554,6.73371283187786e-06,55486.0,2.5943,0.025,30016.130859375,229.91,0.879094,0.02,0.03481950431034483
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTE0MA==,2019-09-24T23:10:53+00:00,LBAND,257.5371962616822,2.6434127822587357,1.528788613612143e-05,55486.0,4.7812,0.054,19888.33203125,149.207,0.966085,0.02,0.055408787541713016
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTQzOQ==,2020-03-27T14:02:50+00:00,LBAND,258.47774983177567,2.643009422461778,2.527947780838103e-05,55486.0,3.9772,0.072,15939.0390625,116.838,0.720262,0.02,0.07141507056451613
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTAwOQ==,2022-03-22T16:48:41+00:00,LBAND,255.49905824299057,2.642034336837872,3.086756506366908e-05,55486.0,6.5253,0.079,22188.916015625,160.543,0.322015,0.02,0.08417338709677419
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcwMA==,2019-09-29T01:39:37+00:00,LBAND,513.5862429906541,2.643308989824478,1.464587640802033e-05,55486.0,4.8153,0.051,13688.7392578125,68.241,1.11376,0.02,0.06395388615216202
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Nzg0Mw==,2022-07-26T12:00:33+00:00,LBAND,255.5776957009345,2.6416386896487345,2.379172475282027e-05,55486.0,4.5761,0.066,31921.150390625,273.784,0.352468,0.02,0.14670488911290322
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NTgzMw==,2020-07-31T00:19:01+00:00,LBAND,255.89105405607472,2.642922256093727,3.535294786331734e-05,55486.0,9.2095,0.111,14289.7841796875,99.616,1.09075,0.02,0.1270476310483871
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTA2Ng==,2022-08-23T09:33:23+00:00,LBAND,255.4990582429906,2.641628816031103,2.938321329791143e-05,55486.0,7.1816,0.082,22129.134765625,149.406,0.415587,0.02,0.09743573588709678
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mzg0NDA=,2023-11-14T04:08:35+00:00,LBAND,254.55809794392522,2.6404801886137337,2.004938356636231e-05,55486.0,3.8348,0.042,32073.208984375,293.833,0.457184,0.02,0.07355720766129033
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODQ3Nw==,2023-04-17T15:08:35+00:00,LBAND,255.4990582429906,2.64084187658546,2.502523991097139e-05,55486.0,4.3512,0.057,23728.49609375,155.161,-1.41183,0.02,0.08653603830645161
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODIzMg==,2022-12-28T02:13:27+00:00,LBAND,254.55779170093453,2.6412400545300296,2.429080304201009e-05,55486.0,6.5231,0.064,29055.3984375,216.736,0.946198,0.02,0.09078881048387097
UHVsc2FyRm9sZFJlc3VsdE5vZGU6OTAyNQ==,2022-05-09T14:03:35+00:00,LBAND,255.57769570093453,2.641861751929422,2.465728196276443e-05,55486.0,2.9357,0.073,18131.1953125,146.266,0.0127675,0.02,0.08004662298387097
