ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjczNjU=,2022-10-08T09:30:44+00:00,LBAND,136.5609007850465,196.70908467225138,0.012335443337900868,59400.0,0.5427,54.421,195.353256225586,1.586,146.968,0.77,0.18115234375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjU1NTQ=,2022-09-05T11:57:01+00:00,LBAND,136.5609007850465,196.70433146440593,0.01539762425906586,59400.0,1.094,66.447,273.180511474609,1.97,149.292,0.87,0.1527099609375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjUzMTc=,2022-07-23T11:01:13+00:00,LBAND,139.5370957757007,196.7145959669744,0.0207031918869473,59400.0,1.4797,94.077,198.816070556641,1.502,141.199,0.54,0.21954345703125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjY0NTc=,2023-02-27T22:16:46+00:00,LBAND,139.53709577570072,196.6682038156035,0.026144018308552973,59400.0,2.6733,111.596,198.110733032227,1.718,146.051,1.49,0.18497242647058823
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzU2MTY=,2024-04-30T15:57:38+00:00,LBAND,139.5370957757007,196.72492558708717,0.015153013450317226,59400.0,0.7266,66.694,192.100387573242,1.743,148.85,0.9,0.142822265625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjI0Nzc=,2020-06-13T12:34:38+00:00,LBAND,134.84055685981284,196.68312322209653,0.033301567698005546,59400.0,1.9257,145.937,129.493209838867,1.109,157.6,0.82,0.19287109375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjQ0NzQ=,2022-02-10T01:17:13+00:00,LBAND,136.4748835887848,196.72952713392698,0.022211556753222853,59400.0,1.2211,91.675,180.785659790039,1.434,144.114,0.94,0.13177490234375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzYxNjA=,2024-05-28T15:20:11+00:00,LBAND,139.5370957757007,196.144,0.574,60458.640663,None,None,14.1017045974731,0.228,None,None,0.1204833984375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjQ2NDQ=,2022-03-14T23:22:21+00:00,LBAND,136.47488358878482,196.7075645401804,0.018268642585939663,59400.0,1.2594,75.372,206.513000488281,1.66,156.281,3.72,0.1351318359375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjUzOTU=,2022-08-05T13:41:57+00:00,LBAND,136.5609007850465,196.70701300347457,0.015684729702738938,59400.0,1.1949,71.067,229.182647705078,2.102,146.597,0.83,0.15228271484375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjUyMzQ=,2022-07-05T15:42:14+00:00,LBAND,136.5609007850465,196.71966470376913,0.013937607823842619,59400.0,0.54,64.175,184.672943115234,1.684,147.539,0.56,0.20684814453125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjQ0MDQ=,2022-01-31T23:02:27+00:00,LBAND,139.451078579439,196.66957349626145,0.020870856764974376,59400.0,1.3192,86.631,193.074417114258,1.51,144.326,0.64,0.14288330078125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjYxOTc=,2023-01-05T03:40:31+00:00,LBAND,135.56233928971938,196.76438638716505,0.015306597918385328,59400.0,0.5017,66.594,160.82893371582,1.264,143.087,0.44,0.1490234375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjM5NDE=,2021-07-04T15:55:30+00:00,LBAND,136.5609007850465,196.7327321451246,0.018303935460907847,59400.0,1.1931,78.457,198.907653808594,1.764,150.502,0.44,0.15948486328125
