# PSRJ;RAJ;err_RAJ;DECJ;err_DECJ;F0;err_F0;F1;err_F1;F2;err_F2;N_ToA;T;Flags
# ;h:m:s;0.0;d:m:s;0.0;Hz;0.0;1E-15 s^-2;0.0;1E-24 s^-3;0.0;0.0;yr;
J1428-5530;14:28:26.240;(3);-55:30:50.06;(4);1.75348642691;(1);-6.41562;(+4,-3);0.0555;168;3.66;
J1430-6623;14:30:40.732;(1);-66:23:05.546;(1);1.2731663027;(6);-4.50256;(+4,-3);0.0;(+0.032,-0.039);170;3.57;
J1435-5954;14:35:00.208;(1);-59:54:49.5;(1);2.11418109778;(4);-6.9189;(1);0.0;(+0.81,-0.52);254;3.49;
J1452-6036;14:52:51.80;(1);-60:36:30.00;(8);6.4519415824;(1);-60.401;(+3,-2);0.0;(+105.1,-110.5);152;1.32;
J1453-6413;14:53:32.652;(1);-64:13:16.095;(9);5.571424352;(+2,-3);-85.1854;(+2,-1);0.0;(+0.18,-0.24);234;3.56;
J1456-6843;14:55:59.914;(1);-68:43:39.49;(1);3.79684009011;(+5,-6);-1.42687;(+3,-2);0.0;(+0.044,-0.009);119;4.21;
J1457-5122;14:57:40.093;(8);-51:22:54.9;(1);0.57198175779;(+1,-2);-1.73305;(+5,-7);0.0;(+0.22,-0.24);39;3.03;
J1507-4352;15:07:34.175;(4);-43:52:04.05;(1);3.48725495693;(1);-19.2672;(+5,-4);0.0;(+0.8,-1.4);56;3.17;
J1507-6640;15:07:48.634;(1);-66:40:57.86;(1);2.81170331276;(+8,-9);-9.1066;(2);0.0;(+0.22,-0.14);111;2.97;
J1511-5414;15:11:51.285;(3);-54:14:40.32;(6);4.99041973147;(+8,-6);-12.072;(+1,-2);0.0;(+144.8,-15.3);101;1.25;
J1512-5759;15:12:43.13;(1);-58:00:00.43;(1);7.77001479211;(5);-413.71;(2);0.0;(+1.7,-13.0);177;3.19;
J1514-4834;15:14:14.563;(2);-48:34:19.97;(4);2.19857371563;(3);-4.47652;(+9,-8);0.0;(+2.2,-0.3);51;2.55;
J1522-5829;15:22:42.244;(4);-58:29:02.815;(3);2.52937565301;(+7,-9);-13.1588;(+3,-4);0.0;(+0.25,-1.07);187;3.21;
J1527-3931;15:27:58.828;(9);-39:31:34.2;(2);0.41363243246;(1);-3.26122;(+4,-5);0.0;(+0.19,-0.15);36;3.21;
J1527-5552;15:27:40.734;(4);-55:52:08.352;(6);0.953544682096;(+3,-4);-10.2459;(+2,-1);0.0;(+0.25,-0.0);134;3.21;
J1528-3146;15:28:34.952;(1);-31:46:06.944;(6);16.4413569253;(+2,-1);-0.068;(+5,-6);0.0;(+1.36,-0.57);25;3.05;B
J1534-5334;15:34:08.2790;(1);-53:34:19.57;(2);0.730523027415;(+2,-3);-0.76251;(7);0.0;(+0.013,-0.016);231;3.63;
J1534-5405;15:34:33.59;(1);-54:05:40.5;(2);3.4519643055;(+1,-8);-18.528;(+2,-3);4;(+5.5,-4.5);100;2.43;
J1539-5626;15:39:14.07;(1);-56:26:26.2;(1);4.10852985562;(+3,-6);-81.894;(+3,-1);0.0;(+1.5,-7.0);179;3.13;
J1542-5034;15:42:45.32;(2);-50:34:03.66;(3);1.6687581689;(+9,-1);-11.208;(+4,-3);0.0;(+5.2,-7.3);59;2.39;
J1543+0929;15:43:38.82;(2);+09:29:16.4;(5);1.33609682985;(2);-0.7773;(7);0.0;(+1.7,-1.6);28;2.75;
J1544-5308;15:44:59.8294;(6);-53:08:46.953;(9);5.60055059845;(+1,-9);-1.88991;(+3,-4);0.0;(+0.17,-0.26);164;3.58;
J1549-4848;15:49:21.027;(6);-48:48:36.1;(1);3.46791653545;(+9,-1);-169.702;(2);0.0;(+63.2,-56.4);44;1.46;
J1553-5456;15:53:59.61;(1);-54:56:06.25;(1);0.9247724034;(+6,-5);-13.4399;(1);0.0;(+36.6,-44.9);73;1.21;
J1555-3134;15:55:17.947;(2);-31:34:20.3;(1);1.93009273101;(2);-0.23061;(7);0.0;(+0.34,-0.11);49;3.19;
J1557-4258;15:57:00.25445;(6);-42:58:12.35;(1);3.0377858242;(+1,-2);-3.04646;(+8,-7);0.0;(+0.05,-0.131);90;3.54;
J1559-4438;15:59:41.525;(1);-44:38:45.85;(3);3.89018703598;(+2,-3);-15.4484;(2);0.0;(+0.53,-0.27);66;3.37;
J1559-5545;15:59:20.7;(1);-55:45:47;(1);1.04464080328;(5);-21.733;(3);0.0;(+12.5,-3.9);87;3.49;
J1600-3053;16:00:51.8941;(7);-30:53:49.70;(3);277.937706823;(2);-0.687;(5);0.0;(+47.9,-46.2);32;3.39;PPTA, B
J1600-5044;16:00:53.033;(5);-50:44:20.93;(8);5.19197591119;(2);-136.452;(+1,-9);0.0;(+3.1,-1.2);175;3.63;
J1603-2531;16:03:04.8253;(6);-25:31:47.9;(4);3.53267858106;(4);-19.8906;(2);0.0;(+1.13,-0.29);29;3.36;
J1603-2712;16:03:08.036;(1);-27:13:27.0;(7);1.28482652061;(4);-4.9683;(+1,-2);0.0;(+0.11,-0.28);29;3.0;
J1603-7202;16:03:35.6736;(9);-72:02:32.795;(7);67.3765811129;(+1,-2);-0.074;(+6,-5);0.0;(+0.66,-0.56);38;3.11;PPTA, B
J1604-4909;16:04:22.985;(2);-49:09:58.33;(5);3.05419496456;(5);-9.4894;(3);0.0;(+1.25,-0.25);113;3.47;
J1605-5257;16:05:16.265;(3);-52:57:34.80;(5);1.51972586121;(1);-0.59109;(+4,-3);0.0;(+0.12,-0.43);162;3.75;
J1613-4714;16:13:29.018;(4);-47:14:26.41;(8);2.61522196138;(2);-4.33493;(6);0.0;(+0.31,-0.23);65;3.35;
J1622-4950;16:22:44;(620);-49:50:54;(3668);0.2311087;(3);-526;(+54.3,-56.9);0.0;(+5145.6,-7084.3);77;1.21;
J1623-0908;16:23:17.658;(4);-09:08:48.9;(3);0.783424111867;(+2,-1);-1.58401;(5);0.0;(+0.36,-0.49);31;3.13;
J1623-4256;16:23:48.291;(6);-42:56:52.6;(1);2.74279572052;(1);-7.5624;(+8,-7);0.0;(+1.16,-0.06);57;3.47;
J1626-4537;16:26:48.94;(1);-45:37:25.8;(6);2.701641249;(2);-60.541;(4);0.0;(+190.9,-230.7);35;1.21;
J1633-4453;16:33:47.03;(3);-44:53:08.58;(7);2.2908895877;(3);-32.539;(+5,-6);0.0;(+327.5,-153.7);33;1.24;
J1633-5015;16:33:00.0861;(1);-50:15:08.358;(3);2.83973605453;(1);-30.54746;(4);0.0;(+0.128,-0.07);110;3.74;
J1639-4604;16:39:21.198;(3);-46:04:33.23;(7);1.88992880367;(3);-20.60947;(9);0.0;(+0.69,-0.88);57;2.47;
J1644-4559;16:44:49.234;(6);-45:59:10.3;(1);2.19742452445;(+4,-3);-96.9653;(+4,-5);1;(+1.1,-1.4);648;4.1;
J1646-6831;16:46:54.91;(3);-68:31:51.7;(1);0.560031669373;(2);-0.5337;(1);0.0;(+0.074,-0.14);27;3.35;
J1651-4246;16:51:48.797;(6);-42:46:09.97;(1);1.18472094037;(+4,-5);-6.662;(+3,-2);0.0;(+0.72,-0.76);148;3.46;
J1651-5222;16:51:42.962;(2);-52:22:58.38;(3);1.5746588888;(1);-4.48968;(3);0.0;(+0.24,-0.017);95;3.38;
J1651-5255;16:51:41.41;(1);-52:55:47.7;(2);1.12291858733;(1);-2.6677;(6);0.0;(+0.94,-0.04);71;3.14;
J1652-2404;16:52:58.50;(5);-24:03:54;(7);0.586943472123;(+4,-3);-1.0877;(1);0.0;(+0.29,-0.26);27;2.87;
J1700-3312;17:00:52.96;(2);-33:12:45;(1);0.736209097583;(+6,-5);-2.5543;(2);0.0;(+0.19,-0.37);53;3.36;
J1701-3726;17:01:18.45;(1);-37:26:27.2;(5);0.407395359535;(2);-1.84611;(+5,-6);0.0;(+0.23,-0.21);62;3.17;
J1703-1846;17:03:51.102;(9);-18:46:13;(1);1.24325189271;(3);-2.67613;(1);0.0;(+0.06,-0.21);34;3.18;
J1703-3241;17:03:22.514;(2);-32:41:48.5;(1);0.825228539025;(5);-0.44787;(2);0.0;(+0.057,-0.067);81;3.54;
J1703-4851;17:03:54.541;(7);-48:52:01.04;(1);0.716124628374;(2);-2.60178;(+5,-7);0.0;(+0.22,-0.09);50;3.36;
J1705-1906;17:05:36.093;(2);-19:06:39.2;(3);3.34458679304;(+6,-7);-46.2498;(3);0.0;(+0.27,-0.89);78;3.52;
J1705-3423;17:05:42.362;(3);-34:23:43.1;(2);3.91501633777;(1);-16.4861;(+6,-5);0.0;(+0.6,-1.6);112;3.43;
J1707-4053;17:07:21.78;(2);-40:53:55.1;(9);1.72111797519;(2);-5.6882;(+5,-4);0.0;(+2.0,-1.5);57;3.51;
J1708-3426;17:08:57.79;(1);-34:26:44.0;(6);1.44484514046;(+3,-5);-8.7827;(2);0.0;(+0.42,-0.59);52;3.35;
